  e, vcon, xe, relc =   13.523600000000000      -0.16649701272505602        3.7000912179989158      nr
    13.52360     3.70009  -0.02404    1    0   0.381425E+00-0.760166E+00   0.110574E+01
 rp    1    0  0.38143E+00  0.52731E+00  0.10509E+01 -0.37725E-02  0.13524E+02
    13.52360     3.70009  -0.02404    1    1  -0.452543E+00-0.558298E+00   0.225195E+01
 rp    1    1 -0.45131E+00 -0.85930E+00  0.10796E+01  0.38300E-03  0.13524E+02
    13.52360     3.70009  -0.02404    1    2   0.115434E+00-0.725438E-01   0.561072E+00
 rp    1    2  0.11312E+00  0.62947E+01  0.40027E+01  0.41829E-04  0.13524E+02
    13.52360     3.70009  -0.02404    1    3   0.120532E+00-0.905666E+00   0.143849E+01
 rp    1    3  0.12087E+00  0.14482E+00  0.10850E+01 -0.11080E-02  0.13524E+02
    13.52360     3.70009  -0.02404    1    4   0.396866E+00-0.415773E+00   0.808660E+00
 rp    1    4  0.39686E+00  0.12015E+01  0.12586E+01 -0.40069E-02  0.13524E+02
    13.52360     3.70009  -0.02404    1    5   0.320906E+00-0.215965E+00   0.592364E+00
 rp    1    5  0.32089E+00  0.21450E+01  0.14434E+01 -0.14203E-01  0.13524E+02
    13.52360     3.70009  -0.02404    1    6   0.228994E+00-0.124253E+00   0.497148E+00
 rp    1    6  0.22898E+00  0.33739E+01  0.18306E+01 -0.46693E-01  0.13524E+02
    13.52360     3.70009  -0.02404    1    7   0.117349E+00-0.489877E-01   0.395462E+00
 rp    1    7  0.11734E+00  0.72574E+01  0.30296E+01 -0.11853E+00  0.13524E+02
    13.52360     3.70009  -0.02404    1    8   0.403943E-01-0.137881E-01   0.328938E+00
 rp    1    8  0.40392E-01  0.22174E+02  0.75687E+01 -0.23120E+00  0.13524E+02
    13.52360     3.70009  -0.02404    1    9   0.101462E-01-0.324640E-02   0.309667E+00
 rp    1    9  0.10146E-01  0.89410E+02  0.28608E+02 -0.36121E+00  0.13524E+02
    13.52360     3.70009  -0.02404    1   10   0.199130E-02-0.647652E-03   0.314450E+00
 rp    1   10  0.19912E-02  0.45417E+03  0.14771E+03 -0.46999E+00  0.13524E+02
    13.52360     3.70009  -0.02404    1   11   0.316091E-03-0.107268E-03   0.327162E+00
 rp    1   11  0.31607E-03  0.28371E+04  0.96279E+03 -0.52480E+00  0.13524E+02
    13.52360     3.70009  -0.02404    2    0   0.403469E+00-0.719630E+00   0.105980E+01
    13.52360     3.70009  -0.02404    2    1  -0.440124E+00-0.617301E+00   0.219018E+01
    13.52360     3.70009  -0.02404    2    2   0.445781E-01-0.584081E-01   0.918889E+00
    13.52360     3.70009  -0.02404    2    3   0.128989E+00-0.902346E+00   0.142881E+01
    13.52360     3.70009  -0.02404    2    4   0.393068E+00-0.426531E+00   0.826205E+00
    13.52360     3.70009  -0.02404    2    5   0.306784E+00-0.201220E+00   0.580512E+00
    13.52360     3.70009  -0.02404    2    6   0.221881E+00-0.118860E+00   0.491791E+00
    13.52360     3.70009  -0.02404    2    7   0.128238E+00-0.571097E-01   0.418974E+00
    13.52360     3.70009  -0.02404    2    8   0.521535E-01-0.196533E-01   0.360379E+00
    13.52360     3.70009  -0.02404    2    9   0.153790E-01-0.540180E-02   0.337784E+00
    13.52360     3.70009  -0.02404    2   10   0.350100E-02-0.123920E-02   0.340195E+00
    13.52360     3.70009  -0.02404    2   11   0.640123E-03-0.235557E-03   0.352608E+00
    13.52360     3.70009  -0.02404    3    0   0.397980E+00-0.730906E+00   0.107218E+01
    13.52360     3.70009  -0.02404    3    1  -0.444067E+00-0.602538E+00   0.220592E+01
    13.52360     3.70009  -0.02404    3    2   0.629694E-01-0.611600E-01   0.770823E+00
    13.52360     3.70009  -0.02404    3    3   0.110648E+00-0.908020E+00   0.144954E+01
    13.52360     3.70009  -0.02404    3    4   0.395407E+00-0.436976E+00   0.835296E+00
    13.52360     3.70009  -0.02404    3    5   0.320077E+00-0.215974E+00   0.593582E+00
    13.52360     3.70009  -0.02404    3    6   0.236555E+00-0.130711E+00   0.504809E+00
    13.52360     3.70009  -0.02404    3    7   0.133710E+00-0.592191E-01   0.416929E+00
    13.52360     3.70009  -0.02404    3    8   0.515604E-01-0.187053E-01   0.348018E+00
    13.52360     3.70009  -0.02404    3    9   0.143238E-01-0.478965E-02   0.322697E+00
    13.52360     3.70009  -0.02404    3   10   0.307922E-02-0.103603E-02   0.324561E+00
    13.52360     3.70009  -0.02404    3   11   0.532909E-03-0.186436E-03   0.336538E+00
    13.52360     3.70009  -0.02404    4    0   0.404789E+00-0.721974E+00   0.105980E+01
    13.52360     3.70009  -0.02404    4    1  -0.441582E+00-0.613320E+00   0.219481E+01
    13.52360     3.70009  -0.02404    4    2   0.464387E-01-0.598314E-01   0.910762E+00
    13.52360     3.70009  -0.02404    4    3   0.124381E+00-0.902772E+00   0.143388E+01
    13.52360     3.70009  -0.02404    4    4   0.397790E+00-0.407393E+00   0.797324E+00
    13.52360     3.70009  -0.02404    4    5   0.309677E+00-0.205627E+00   0.586156E+00
    13.52360     3.70009  -0.02404    4    6   0.201203E+00-0.104015E+00   0.477125E+00
    13.52360     3.70009  -0.02404    4    7   0.915734E-01-0.364845E-01   0.379142E+00
    13.52360     3.70009  -0.02404    4    8   0.286466E-01-0.974261E-02   0.327825E+00
    13.52360     3.70009  -0.02404    4    9   0.668724E-02-0.220202E-02   0.318104E+00
    13.52360     3.70009  -0.02404    4   10   0.123112E-02-0.417045E-03   0.326620E+00
    13.52360     3.70009  -0.02404    5    0   0.406393E+00-0.715047E+00   0.105398E+01
    13.52360     3.70009  -0.02404    5    1  -0.438924E+00-0.622722E+00   0.218477E+01
    13.52360     3.70009  -0.02404    5    2   0.382566E-01-0.576599E-01   0.984998E+00
    13.52360     3.70009  -0.02404    5    3   0.135237E+00-0.900312E+00   0.142170E+01
    13.52360     3.70009  -0.02404    5    4   0.392582E+00-0.419079E+00   0.818033E+00
    13.52360     3.70009  -0.02404    5    5   0.302155E+00-0.196174E+00   0.575848E+00
    13.52360     3.70009  -0.02404    5    6   0.213949E+00-0.113081E+00   0.486219E+00
    13.52360     3.70009  -0.02404    5    7   0.120655E+00-0.531262E-01   0.414771E+00
    13.52360     3.70009  -0.02404    5    8   0.481754E-01-0.181620E-01   0.360520E+00
    13.52360     3.70009  -0.02404    5    9   0.140429E-01-0.498632E-02   0.341191E+00
    13.52360     3.70009  -0.02404    5   10   0.317023E-02-0.113972E-02   0.345120E+00
    13.52360     3.70009  -0.02404    5   11   0.575530E-03-0.215422E-03   0.358159E+00
