 energy -- xe (complex wv) -- vcon (real part ip)
   13.523600000000000             (3.7000912179989158,-2.40418133185666266E-002) -0.16649701272505602     

  -- absorber excited regular wf for all l -- 

  l=            0
   7.2889464807377011E-004            (-7.7553797581210784,-0.21174054614864279)
   1.4577892961475402E-003            (-7.5974867506706065,-0.20742974833464614)
   2.1866839442213105E-003            (-7.4419955222356196,-0.20318456359932882)
   2.9155785922950804E-003            (-7.2888750458364999,-0.19900414321177667)
   3.6444732403688503E-003            (-7.1380942146596684,-0.19488763629951092)
   4.3733678884426202E-003            (-6.9896221894373216,-0.19083419933211146)
   5.1022625365163901E-003            (-6.8434281404196469,-0.18684298907573421)
   5.8311571845901600E-003            (-6.6994815303828119,-0.18291317031924201)
   6.5600518326639299E-003            (-6.5577520682408386,-0.17904391460701535)
   7.2889464807376998E-003            (-6.4182097293347571,-0.17523440079222533)
   8.0178411288114697E-003            (-6.2808247419154659,-0.17148381466711332)
   8.7467357768852404E-003            (-6.1455676503556544,-0.16779135068818646)
   9.4756304249590112E-003            (-6.0124093151960665,-0.16415621197683436)
   1.0204525073032782E-002            (-5.8813207715740452,-0.16057760645338251)
   1.0933419721106553E-002            (-5.7522734907215982,-0.15705475397610238)
   1.1662314369180323E-002            (-5.6252392376762224,-0.15358688245568652)
   1.2391209017254094E-002            (-5.5001901253749867,-0.15017322933157404)
   1.3120103665327865E-002            (-5.3770988568139257,-0.14681304818308991)
   1.3848998313401636E-002            (-5.2559376421941781,-0.14350557916335308)
   1.4577892961475407E-002            (-5.1366781238614854,-0.14025004694903800)
   1.5306787609549177E-002            (-5.0192952618477484,-0.13704576682880118)
   1.6035682257622946E-002            (-4.9037629265782083,-0.13389202436815745)
   1.6764576905696715E-002            (-4.7900551603777251,-0.13078810985249079)
   1.7493471553770484E-002            (-4.6781463712333942,-0.12773332357693024)
   1.8222366201844253E-002            (-4.5680112388355623,-0.12472697328035688)
   1.8951260849918022E-002            (-4.4596247961348734,-0.12176837637172265)
   1.9680155497991791E-002            (-4.3529625014065818,-0.11885686189725811)
   2.0409050146065560E-002            (-4.2480008217446192,-0.11599178647218131)
   2.1137944794139329E-002            (-4.1447149815538165,-0.11317247280321809)
   2.1866839442213098E-002            (-4.0430815146764676,-0.11039827937356030)
   2.2595734090286868E-002            (-3.9430768174555153,-0.10766856093371592)
   2.3324628738360637E-002            (-3.8446778638538825,-0.10498268802759964)
   2.4053523386434406E-002            (-3.7478619734977716,-0.10234004065845005)
   2.4782418034508175E-002       (-3.6526067804384228,-9.97400074354267696E-002)
   2.5511312682581944E-002       (-3.5588902297130591,-9.71819854792791010E-002)
   2.6240207330655713E-002       (-3.4666905695713410,-9.46653802096626834E-002)
   2.6969101978729482E-002       (-3.3759863493616207,-9.21896052870126576E-002)
   2.7697996626803251E-002       (-3.2867564266267824,-8.97540828059163742E-002)
   2.8426891274877020E-002       (-3.1989799519726207,-8.73582428815258966E-002)
   2.9155785922950789E-002       (-3.1126363713786631,-8.50015237122842271E-002)
   3.0613575219098330E-002       (-2.9441670991517284,-8.04032393724580657E-002)
   3.2071364515245872E-002       (-2.7811898945303968,-7.59548918176981003E-002)
   3.3529153811393410E-002       (-2.6235504873002009,-7.16522647217181508E-002)
   3.4986943107540948E-002       (-2.4710989429742716,-6.74912604005205446E-002)
   3.6444732403688486E-002       (-2.3236895585309663,-6.34678969550272198E-002)
   3.7902521699836024E-002       (-2.1811807269501520,-5.95783045619805648E-002)
   3.9360310995983562E-002       (-2.0434348211319864,-5.58187222945832687E-002)
   4.0818100292131100E-002       (-1.9103180773535609,-5.21854949308791644E-002)
   4.2275889588278638E-002       (-1.7817004855807526,-4.86750699497317252E-002)
   4.3733678884426176E-002       (-1.6574556790761481,-4.52839945079066483E-002)
   4.5191468180573714E-002       (-1.5374608235734695,-4.20089124056090557E-002)
   4.6649257476721252E-002       (-1.4215965152614991,-3.88465612929686441E-002)
   4.8107046772868790E-002       (-1.3097466558359241,-3.57937692501771806E-002)
   4.9564836069016328E-002       (-1.2017983906645551,-3.28474530924062966E-002)
   5.1022625365163866E-002       (-1.0976419844136736,-3.00046149660522059E-002)
   5.2480414661311404E-002      (-0.99717073615473806,-2.72623400240379066E-002)
   5.3938203957458943E-002      (-0.90028092717792851,-2.46177949958131630E-002)
   5.5395993253606481E-002      (-0.80687205313127419,-2.20682345321083009E-002)
   5.6853782549754019E-002      (-0.71684554672561485,-1.96109662751194833E-002)
   5.8311571845901557E-002      (-0.63010591018291073,-1.72433818221032938E-002)
   5.9769361142049095E-002      (-0.54656030051228843,-1.49629453823830992E-002)
   6.1227150438196633E-002      (-0.46611840233622842,-1.27671902972869358E-002)
   6.2684939734344178E-002      (-0.38869235722879242,-1.06537171056349401E-002)
   6.4142729030491716E-002      (-0.31419669052377491,-8.62019154000683366E-003)
   6.5600518326639254E-002      (-0.24254824288360194,-6.66434265337353254E-003)
   6.7058307622786792E-002      (-0.17366610345430628,-4.78396098916151254E-003)
   6.8516096918934330E-002      (-0.10747154447578183,-2.97689679107230416E-003)
   6.9973886215081868E-002 (-4.38879602263347324E-002,-1.24105833184988022E-003)
   7.1431675511229406E-002   (1.71591944601991453E-002,4.25589770058017387E-004)
   7.2889464807376944E-002   (7.57424620026349305E-002,2.02502813237209105E-003)
   7.4347254103524482E-002        (0.13193243890359690,3.55918416562121635E-003)
   7.5805043399672020E-002        (0.18579783049788659,5.02993357121541643E-003)
   7.7262832695819558E-002        (0.23740550382940698,6.43910178899031755E-003)
   7.8720621991967096E-002        (0.28682053898138515,7.78846540227548425E-003)
   8.0178411288114634E-002        (0.33410627880623961,9.07975349912435933E-003)
   8.1636200584262172E-002        (0.37932437754745474,1.03146490031051901E-002)
   8.3093989880409710E-002        (0.42253484676963410,1.14947899306363632E-002)
   8.4551779176557249E-002        (0.46379610120443659,1.26217706457248027E-002)
   8.6009568472704787E-002        (0.50316500285059218,1.36971430669759336E-002)
   8.7467357768852325E-002        (0.54069689920273856,1.47224177145524986E-002)
   9.0382936361147401E-002        (0.61046369487726504,1.66285142954399126E-002)
   9.3298514953442477E-002        (0.67351074294235247,1.83513648507995231E-002)
   9.6214093545737553E-002        (0.73023057153516402,1.99016800413293719E-002)
   9.9129672138032629E-002        (0.78099522386484055,2.12896106942898795E-002)
  0.10204525073032771             (0.82615735822974601,2.25247779047209745E-002)
  0.10496082932262278             (0.86605129150789195,2.36163015882212210E-002)
  0.10787640791491786             (0.90099394387452092,2.45728263337145099E-002)
  0.11079198650721293             (0.93128568124199296,2.54025444604273343E-002)
  0.11370756509950801             (0.95721147394589978,2.61132276941801397E-002)
  0.11662314369180309             (0.97904140410451601,2.67122410747288527E-002)
  0.11953872228409816             (0.99703153112533649,2.72065666259874231E-002)
  0.12245430087639324              (1.0114246160205400,2.76028231707098927E-002)
  0.12536987946868833              (1.0224508086362230,2.79072851294706464E-002)
  0.12828545806098340              (1.0303282545823540,2.81258991246386078E-002)
  0.13120103665327848              (1.0352635795118867,2.82642972330730650E-002)
  0.13411661524557356              (1.0374530575231324,2.83278289115580471E-002)
  0.13703219383786863              (1.0370825547039748,2.83215594836119140E-002)
  0.13994777243016371              (1.0343280673191693,2.82502848545554304E-002)
  0.14286335102245878              (1.0293556158678803,2.81185286331986813E-002)
  0.14577892961475386              (1.0223242114826288,2.79306231663711442E-002)
  0.14869450820704894              (1.0133837164516821,2.76906511168276727E-002)
  0.15161008679934401              (1.0026759951473256,2.74024769096660042E-002)
  0.15452566539163909             (0.99033542958362797,2.70697608240263385E-002)
  0.15744124398393416             (0.97648922769170265,2.66959674207029700E-002)
  0.16035682257622924             (0.96125780824659257,2.62843760634559331E-002)
  0.16327240116852432             (0.94475513631400476,2.58380900873463951E-002)
  0.16618797976081939             (0.92708902397904791,2.53600450172326401E-002)
  0.16910355835311447             (0.90836148295189134,2.48530182046224866E-002)
  0.17201913694540955             (0.88866897068724837,2.43196355520288385E-002)
  0.17493471553770462             (0.86810268206677010,2.37623794832675823E-002)
  0.17785029412999970             (0.84674879850524254,2.31835957488711782E-002)
  0.18076587272229477             (0.82468876869290075,2.25855010975111251E-002)
  0.18368145131458985             (0.80199944426823311,2.19701869758908049E-002)
  0.18659702990688493             (0.77875346624622765,2.13396300951487761E-002)
  0.18951260849918000             (0.75501930094800151,2.06956933984451287E-002)
  0.19242818709147508             (0.73086159019454999,2.00401356375063400E-002)
  0.19534376568377015             (0.70634114186962627,1.93746110940780578E-002)
  0.19825934427606523             (0.68151537080638247,1.87006816465944310E-002)
  0.20117492286836031             (0.65643832384278555,1.80198174371816178E-002)
  0.20409050146065538             (0.63116087265371301,1.73334021394630847E-002)
  0.20992165864524553             (0.58019329715000578,1.59490459796595638E-002)
  0.21575281582983569             (0.52896191771994994,1.45571115960549530E-002)
  0.22158397301442584             (0.47777436397625078,1.31659638706515762E-002)
  0.22741513019901599             (0.42690081237547300,1.17829485188638838E-002)
  0.23324628738360614             (0.37657764316723213,1.04144918615792399E-002)
  0.23907744456819630             (0.32701044702858584,9.06618273285995403E-003)
  0.24490860175278645             (0.27837729910714265,7.74286184940507771E-003)
  0.25073975893737660             (0.23083137433516585,6.44869307254064984E-003)
  0.25657091612196675             (0.18450353193043223,5.18723392716401426E-003)
  0.26240207330655690             (0.13950429078870119,3.96148926518320298E-003)
  0.26823323049114706        (9.59260384063144178E-002,2.77397156533325728E-003)
  0.27406438767573721        (5.38448307943599422E-002,1.62674992807210553E-003)
  0.27989554486032736        (1.33220467425622172E-002,5.21495096697095610E-004)
  0.28572670204491751      (-2.55940854900374541E-002,-5.40479019008350626E-004)
  0.29155785922950767      (-6.28670757279082421E-002,-1.55817705898138011E-003)
  0.29738901641409782      (-9.84710557161886935E-002,-2.53089112484660480E-003)
  0.30322017359868797           (-0.13238950502571276,-3.45816692144038443E-003)
  0.30905133078327812           (-0.16461426773576229,-4.33977678059058007E-003)
  0.31488248796786827           (-0.19514463270399210,-5.17569462924315563E-003)
  0.32071364515245843           (-0.22398641140657019,-5.96607099143677336E-003)
  0.32654480233704858           (-0.25115122362638148,-6.71121353376785950E-003)
  0.33237595952163873           (-0.27665558300176768,-7.41156233824583240E-003)
  0.33820711670622888           (-0.30052091730540048,-8.06769017585947344E-003)
  0.34403827389081904           (-0.32277232152724594,-8.68026894716196658E-003)
  0.34986943107540919           (-0.34343799462982577,-9.25005438722722138E-003)
  0.35570058825999934           (-0.36254961627910309,-9.77789609074143466E-003)
  0.36153174544458949           (-0.38014105757329930,-1.02647027509008056E-002)
  0.36736290262917964           (-0.39624826431512372,-1.07114389476083011E-002)
  0.37319405981376980           (-0.41090893142107970,-1.11191163283347778E-002)
  0.37902521699835995           (-0.42416217837981546,-1.14887848259687102E-002)
  0.38485637418295010           (-0.43604822752836581,-1.18215239555745366E-002)
  0.39068753136754025           (-0.44660835018925321,-1.21184413698104832E-002)
  0.39651868855213040           (-0.45588441704305549,-1.23806606961460470E-002)
  0.40234984573672056           (-0.46391877616354893,-1.26093182520378849E-002)
  0.40818100292131071           (-0.47075400859999411,-1.28055564378577163E-002)
  0.41401216010590086           (-0.47643270318079289,-1.29705176480065278E-002)
  0.41984331729049101           (-0.48099787871905342,-1.31053557968316328E-002)
  0.42567447447508117           (-0.48449220924941633,-1.32112152805945338E-002)
  0.43150563165967132           (-0.48695804045836893,-1.32892314565800918E-002)
  0.43733678884426147           (-0.48843719991273188,-1.33405255035004330E-002)
  0.44899910321344177           (-0.48860223490579380,-1.33674161771697355E-002)
  0.46066141758262208           (-0.48531341916813908,-1.33006250714865944E-002)
  0.47232373195180238           (-0.47888653386862962,-1.31486099872559527E-002)
  0.48398604632098269           (-0.46962556824662377,-1.29195096852098897E-002)
  0.49564836069016299           (-0.45782156587832368,-1.26211132550020384E-002)
  0.50731067505934335           (-0.44375195143632978,-1.22608425034143459E-002)
  0.51897298942852366           (-0.42768015667383447,-1.18457424154221388E-002)
  0.53063530379770396           (-0.40985485070643551,-1.13824604924425647E-002)
  0.54229761816688427           (-0.39051048772770103,-1.08772623361306168E-002)
  0.55395993253606457           (-0.36986731522750049,-1.03360322014518658E-002)
  0.56562224690524487           (-0.34813155312706073,-9.76427814518574314E-003)
  0.57728456127442518           (-0.32549572574002616,-9.16714129779043832E-003)
  0.58894687564360548           (-0.30213896721324052,-8.54940425343614363E-003)
  0.60060919001278579           (-0.27822715635088652,-7.91549450246815077E-003)
  0.61227150438196609           (-0.25391527545325332,-7.26955076478318866E-003)
  0.62393381875114640           (-0.22934584874638958,-6.61537827860201200E-003)
  0.63559613312032670           (-0.20465016007221187,-5.95648271422358471E-003)
  0.64725844748950701           (-0.17994884854132231,-5.29608642269723592E-003)
  0.65892076185868731           (-0.15535249826895031,-4.63714453282476884E-003)
  0.67058307622786761           (-0.13096215529775235,-3.98235891692665014E-003)
  0.68224539059704792           (-0.10686988188029567,-3.33419324833348404E-003)
  0.69390770496622822      (-8.31592706047423608E-002,-2.69488687675562520E-003)
  0.70557001933540853      (-5.99059753527082239E-002,-2.06646926370042177E-003)
  0.71723233370458883      (-3.71781831965835169E-002,-1.45077262672512245E-003)
  0.72889464807376914      (-1.50370977346073985E-002,-8.49445004503122480E-004)
  0.74055696244294944       (6.46260669231275755E-003,-2.63962406853771449E-004)
  0.75221927681212974        (2.72723342330048052E-002,3.04359111404486579E-004)
  0.76388159118131005        (4.73491073797857667E-002,8.54361541507182181E-004)
  0.77554390555049035        (6.66550510903051729E-002,1.38517174704206074E-003)
  0.78720621991967066        (8.51572987113689006E-002,1.89656791474409584E-003)
  0.79886853428885096             (0.10282788094693836,2.38870785278581278E-003)
  0.81053084865803127             (0.11964342440987878,2.86201753016155323E-003)
  0.82219316302721157             (0.13558481369565364,3.31711961860785710E-003)
  0.83385547739639188             (0.15063697129316014,3.75478133770011484E-003)
  0.84551779176557218             (0.16478852879729849,4.17586790578464151E-003)
  0.85718010613475248             (0.17803166035370668,4.58130295384884603E-003)
  0.86884242050393279             (0.19036174264685013,4.97203544508937039E-003)
  0.88050473487311309             (0.20177713379849957,5.34901688686400655E-003)
  0.89216704924229340             (0.21227904659559660,5.71317965594024101E-003)
  0.90382936361147370             (0.22187123601018843,6.06541571896537183E-003)
  0.92715399234983431             (0.23835317393851835,6.73740051076705468E-003)
  0.95047862108819492             (0.25129758881952580,7.37088391034096402E-003)
  0.97380324982655553             (0.26080910326163975,7.97052555364644727E-003)
  0.99712787856491614             (0.26701775909826447,8.53962729547188062E-003)
   1.0204525073032769             (0.27007445626100046,9.08008960300498574E-003)
   1.0437771360416375             (0.27014753964805799,9.59247147429141515E-003)
   1.0671017647799981             (0.26741936194022042,1.00760833976940994E-002)
   1.0904263935183587             (0.26208441699541168,1.05291635085989002E-002)
   1.1137510222567193             (0.25434543358488920,1.09489940975697388E-002)
   1.1370756509950799             (0.24441144419747032,1.13320928899764729E-002)
   1.1604002797334405             (0.23249573413897959,1.16743982612764856E-002)
   1.1837249084718011             (0.21881392635920621,1.19714506511655258E-002)
   1.2070495372101617             (0.20358181806905754,1.22185475856903640E-002)
   1.2303741659485223             (0.18701549682342158,1.24110017190576724E-002)
   1.2536987946868829             (0.16932837196226258,1.25442150499398986E-002)
   1.2770234234252436             (0.15073019614210165,1.26138369219726352E-002)
   1.3003480521636042             (0.13142614538604122,1.26159060669856250E-002)
   1.3236726809019648             (0.11161595807874597,1.25469847159891817E-002)
   1.3469973096403254        (9.14920536163433273E-002,1.24041600185987675E-002)
   1.3703219383786860        (7.12396676237786741E-002,1.21852170408044327E-002)
   1.3936465671170466        (5.10357810929441616E-002,1.18886733411961050E-002)
   1.4169711958554072        (3.10484122569808958E-002,1.15138184913737875E-002)
