  core wf on lin-log mesh for hole            3
 0.116613E-03 0.928181E+00
 0.118980E-03 0.929602E+00
 0.121395E-03 0.931051E+00
 0.123859E-03 0.932529E+00
 0.126373E-03 0.934038E+00
 0.128938E-03 0.935577E+00
 0.131555E-03 0.937148E+00
 0.134226E-03 0.938750E+00
 0.136950E-03 0.940385E+00
 0.139730E-03 0.942053E+00
 0.142566E-03 0.943755E+00
 0.145460E-03 0.945491E+00
 0.148412E-03 0.947263E+00
 0.151425E-03 0.949069E+00
 0.154498E-03 0.950910E+00
 0.157634E-03 0.952795E+00
 0.160834E-03 0.954724E+00
 0.164098E-03 0.956699E+00
 0.167429E-03 0.958719E+00
 0.170827E-03 0.960787E+00
 0.174295E-03 0.962903E+00
 0.177832E-03 0.965068E+00
 0.181442E-03 0.967283E+00
 0.185125E-03 0.969548E+00
 0.188882E-03 0.971866E+00
 0.192716E-03 0.974236E+00
 0.196627E-03 0.976660E+00
 0.200618E-03 0.979140E+00
 0.204690E-03 0.981675E+00
 0.208845E-03 0.984268E+00
 0.213084E-03 0.986919E+00
 0.217409E-03 0.989629E+00
 0.221821E-03 0.992400E+00
 0.226324E-03 0.995233E+00
 0.230917E-03 0.998129E+00
 0.235604E-03 0.100109E+01
 0.240386E-03 0.100411E+01
 0.245265E-03 0.100721E+01
 0.250243E-03 0.101037E+01
 0.255322E-03 0.101360E+01
 0.260504E-03 0.101690E+01
 0.265792E-03 0.102027E+01
 0.271186E-03 0.102372E+01
 0.276690E-03 0.102724E+01
 0.282306E-03 0.103083E+01
 0.288036E-03 0.103451E+01
 0.293882E-03 0.103826E+01
 0.299846E-03 0.104210E+01
 0.305932E-03 0.104602E+01
 0.312141E-03 0.105002E+01
 0.318476E-03 0.105411E+01
 0.324940E-03 0.105828E+01
 0.331535E-03 0.106255E+01
 0.338264E-03 0.106690E+01
 0.345129E-03 0.107135E+01
 0.352133E-03 0.107590E+01
 0.359280E-03 0.108053E+01
 0.366572E-03 0.108527E+01
 0.374012E-03 0.109011E+01
 0.381602E-03 0.109505E+01
 0.389347E-03 0.110009E+01
 0.397249E-03 0.110524E+01
 0.405311E-03 0.111050E+01
 0.413537E-03 0.111587E+01
 0.421929E-03 0.112135E+01
 0.430492E-03 0.112694E+01
 0.439229E-03 0.113265E+01
 0.448143E-03 0.113848E+01
 0.457237E-03 0.114443E+01
 0.466517E-03 0.115051E+01
 0.475984E-03 0.115671E+01
 0.485644E-03 0.116304E+01
 0.495500E-03 0.116950E+01
 0.505555E-03 0.117609E+01
 0.515815E-03 0.118282E+01
 0.526283E-03 0.118968E+01
