     1   1     5   1  578    1    1   1208.00   1208.00
   1    1  1  -1 -0.020  0.013  70.00   0.00  1208.00
   1    1  1   0 -0.017  0.002  70.00   0.00  1208.00
   1    1  1   1  0.020 -0.013  70.00   0.00  1208.00
   1    2  1  -1 -0.018  0.015  70.00   0.00  1208.00
   1    2  1   0 -0.020  0.001  70.00   0.00  1208.00
   1    2  1   1  0.018 -0.015  70.00   0.00  1208.00
   1    3  1  -1 -0.018  0.016  70.00   0.00  1208.00
   1    3  1   0 -0.020  0.001  70.00   0.00  1208.00
   1    3  1   1  0.018 -0.016  70.00   0.00  1208.00
   1    4  1  -1 -0.019  0.010  70.00   0.00  1208.00
   1    4  1   0 -0.020  0.000  70.00   0.00  1208.00
   1    4  1   1  0.019 -0.010  70.00   0.00  1208.00
   1    5  1  -1 -0.018  0.014  70.00   0.00  1208.00
   1    5  1   0 -0.021  0.001  70.00   0.00  1208.00
   1    5  1   1  0.018 -0.014  70.00   0.00  1208.00
   1    1  1  -1 -0.018  0.014  70.62   0.00  1208.00
   1    1  1   0 -0.017  0.000  70.62   0.00  1208.00
   1    1  1   1  0.018 -0.014  70.62   0.00  1208.00
   1    2  1  -1 -0.016  0.016  70.62   0.00  1208.00
   1    2  1   0 -0.020 -0.000  70.62   0.00  1208.00
   1    2  1   1  0.016 -0.016  70.62   0.00  1208.00
   1    3  1  -1 -0.017  0.016  70.62   0.00  1208.00
   1    3  1   0 -0.019 -0.001  70.62   0.00  1208.00
   1    3  1   1  0.017 -0.016  70.62   0.00  1208.00
   1    4  1  -1 -0.018  0.011  70.62   0.00  1208.00
   1    4  1   0 -0.019 -0.001  70.62   0.00  1208.00
   1    4  1   1  0.018 -0.011  70.62   0.00  1208.00
   1    5  1  -1 -0.016  0.015  70.62   0.00  1208.00
   1    5  1   0 -0.020 -0.000  70.62   0.00  1208.00
   1    5  1   1  0.016 -0.015  70.62   0.00  1208.00
   1    1  1  -1 -0.017  0.015  71.25   0.00  1208.00
   1    1  1   0 -0.017 -0.001  71.25   0.00  1208.00
   1    1  1   1  0.017 -0.015  71.25   0.00  1208.00
   1    2  1  -1 -0.015  0.016  71.25   0.00  1208.00
   1    2  1   0 -0.020 -0.002  71.25   0.00  1208.00
   1    2  1   1  0.015 -0.016  71.25   0.00  1208.00
   1    3  1  -1 -0.015  0.017  71.25   0.00  1208.00
   1    3  1   0 -0.019 -0.002  71.25   0.00  1208.00
   1    3  1   1  0.015 -0.017  71.25   0.00  1208.00
   1    4  1  -1 -0.017  0.012  71.25   0.00  1208.00
   1    4  1   0 -0.019 -0.002  71.25   0.00  1208.00
   1    4  1   1  0.017 -0.012  71.25   0.00  1208.00
   1    5  1  -1 -0.015  0.015  71.25   0.00  1208.00
   1    5  1   0 -0.020 -0.002  71.25   0.00  1208.00
   1    5  1   1  0.015 -0.015  71.25   0.00  1208.00
   1    1  1  -1 -0.016  0.015  71.87   0.00  1208.00
   1    1  1   0 -0.017 -0.003  71.87   0.00  1208.00
   1    1  1   1  0.016 -0.015  71.87   0.00  1208.00
   1    2  1  -1 -0.013  0.016  71.87   0.00  1208.00
   1    2  1   0 -0.020 -0.003  71.87   0.00  1208.00
   1    2  1   1  0.013 -0.016  71.87   0.00  1208.00
   1    3  1  -1 -0.014  0.017  71.87   0.00  1208.00
